"estado","nome","partido","coligacao","votos","porcentagem","cargo","ano","turno"
"Minas Gerais","Ulysses Guimarães ","PMDB","PMDB",459308,0.679315679981895,"Presidente",1989,"Turno 1"
"Espírito Santo","Ulysses Guimarães ","PMDB","PMDB",71408,0.105612299537886,"Presidente",1989,"Turno 1"
"Rio de Janeiro","Ulysses Guimarães ","PMDB","PMDB",124752,0.184507976584561,"Presidente",1989,"Turno 1"
"São Paulo","Ulysses Guimarães ","PMDB","PMDB",331576,0.490400288925246,"Presidente",1989,"Turno 1"
"Paraná","Ulysses Guimarães ","PMDB","PMDB",144687,0.213991804605059,"Presidente",1989,"Turno 1"
"Santa Catarina","Ulysses Guimarães ","PMDB","PMDB",242757,0.359037152684832,"Presidente",1989,"Turno 1"
"R. G. do Sul","Ulysses Guimarães ","PMDB","PMDB",185433,0.274255063021072,"Presidente",1989,"Turno 1"
"M. G. do Sul","Ulysses Guimarães ","PMDB","PMDB",44130,0.0652681881386804,"Presidente",1989,"Turno 1"
"Mato Grosso","Ulysses Guimarães ","PMDB","PMDB",56209,0.083133006732089,"Presidente",1989,"Turno 1"
"Goiás","Ulysses Guimarães ","PMDB","PMDB",157355,0.23272775310587,"Presidente",1989,"Turno 1"
"Distrito Federal","Ulysses Guimarães ","PMDB","PMDB",26167,0.0387009444601144,"Presidente",1989,"Turno 1"
"Rondônia","Roberto Freire  ","PCB","PCB",2267,0.00335288879470629,"Presidente",1989,"Turno 1"
"Acre","Roberto Freire  ","PCB","PCB",651,0.000962827792392498,"Presidente",1989,"Turno 1"
"Amazonas","Roberto Freire  ","PCB","PCB",4744,0.00701636719986177,"Presidente",1989,"Turno 1"
"Roraima","Roberto Freire  ","PCB","PCB",339,0.000501380371153697,"Presidente",1989,"Turno 1"
"Pará","Roberto Freire  ","PCB","PCB",13645,0.0201809296884726,"Presidente",1989,"Turno 1"
"Amapá","Roberto Freire  ","PCB","PCB",893,0.00132074534348157,"Presidente",1989,"Turno 1"
"Tocantins","Roberto Freire  ","PCB","PCB",1096,0.00162098196691579,"Presidente",1989,"Turno 1"
"Maranhão","Roberto Freire  ","PCB","PCB",12672,0.0187418644933913,"Presidente",1989,"Turno 1"
"Piauí","Roberto Freire  ","PCB","PCB",7303,0.0108011234529069,"Presidente",1989,"Turno 1"
"Ceará","Roberto Freire  ","PCB","PCB",23037,0.0340716802662765,"Presidente",1989,"Turno 1"
"R. G. do Norte","Roberto Freire  ","PCB","PCB",10628,0.0157187922850192,"Presidente",1989,"Turno 1"
"Paraíba","Roberto Freire  ","PCB","PCB",12173,0.0180038444190382,"Presidente",1989,"Turno 1"
"Pernambuco","Roberto Freire  ","PCB","PCB",98651,0.145904646002016,"Presidente",1989,"Turno 1"
"Alagoas","Roberto Freire  ","PCB","PCB",5674,0.00839183547470819,"Presidente",1989,"Turno 1"
"Sergipe","Roberto Freire  ","PCB","PCB",6122,0.00905442664366647,"Presidente",1989,"Turno 1"
"Bahia","Roberto Freire  ","PCB","PCB",29803,0.0440785817153205,"Presidente",1989,"Turno 1"
"Minas Gerais","Roberto Freire  ","PCB","PCB",99672,0.147414703108057,"Presidente",1989,"Turno 1"
"Espírito Santo","Roberto Freire  ","PCB","PCB",10476,0.0154939845669797,"Presidente",1989,"Turno 1"
"Rio de Janeiro","Roberto Freire  ","PCB","PCB",154021,0.227796773290453,"Presidente",1989,"Turno 1"
"São Paulo","Roberto Freire  ","PCB","PCB",140539,0.207856920299615,"Presidente",1989,"Turno 1"
"Paraná","Roberto Freire  ","PCB","PCB",30021,0.0444010033109296,"Presidente",1989,"Turno 1"
"Santa Catarina","Roberto Freire  ","PCB","PCB",13965,0.0206542090948713,"Presidente",1989,"Turno 1"
"R. G. do Sul","Roberto Freire  ","PCB","PCB",45475,0.0672574406437002,"Presidente",1989,"Turno 1"
"M. G. do Sul","Roberto Freire  ","PCB","PCB",6040,0.00893314879577679,"Presidente",1989,"Turno 1"
"Mato Grosso","Roberto Freire  ","PCB","PCB",4375,0.00647061688435819,"Presidente",1989,"Turno 1"
"Goiás","Roberto Freire  ","PCB","PCB",9656,0.0142812060880829,"Presidente",1989,"Turno 1"
"Distrito Federal","Roberto Freire  ","PCB","PCB",24865,0.0367752888753294,"Presidente",1989,"Turno 1"
"Rondônia","Aureliano Chaves ","PFL","PFL",2991,0.0044236834516835,"Presidente",1989,"Turno 1"
"Acre","Aureliano Chaves ","PFL","PFL",797,0.00117876152156194,"Presidente",1989,"Turno 1"
"Amazonas","Aureliano Chaves ","PFL","PFL",3471,0.00513360256128166,"Presidente",1989,"Turno 1"
"Roraima","Aureliano Chaves ","PFL","PFL",459,0.000678860148553236,"Presidente",1989,"Turno 1"
"Pará","Aureliano Chaves ","PFL","PFL",10919,0.016149180745213,"Presidente",1989,"Turno 1"
"Amapá","Aureliano Chaves ","PFL","PFL",695,0.00102790371077233,"Presidente",1989,"Turno 1"
"Tocantins","Aureliano Chaves ","PFL","PFL",1563,0.00231167410062899,"Presidente",1989,"Turno 1"
"Maranhão","Aureliano Chaves ","PFL","PFL",16189,0.0239435009693428,"Presidente",1989,"Turno 1"
"Piauí","Aureliano Chaves ","PFL","PFL",18819,0.0278332660906827,"Presidente",1989,"Turno 1"
"Ceará","Aureliano Chaves ","PFL","PFL",23518,0.0347830783740196,"Presidente",1989,"Turno 1"
"R. G. do Norte","Aureliano Chaves ","PFL","PFL",5992,0.00886215688481697,"Presidente",1989,"Turno 1"
"Paraíba","Aureliano Chaves ","PFL","PFL",9110,0.013473673100915,"Presidente",1989,"Turno 1"
"Pernambuco","Aureliano Chaves ","PFL","PFL",19590,0.0289735736604747,"Presidente",1989,"Turno 1"
"Alagoas","Aureliano Chaves ","PFL","PFL",10677,0.015791263194124,"Presidente",1989,"Turno 1"
"Sergipe","Aureliano Chaves ","PFL","PFL",6371,0.00942269718177051,"Presidente",1989,"Turno 1"
"Bahia","Aureliano Chaves ","PFL","PFL",34951,0.0516924641657607,"Presidente",1989,"Turno 1"
"Minas Gerais","Aureliano Chaves ","PFL","PFL",227049,0.335805049823232,"Presidente",1989,"Turno 1"
"Espírito Santo","Aureliano Chaves ","PFL","PFL",10164,0.0150325371457409,"Presidente",1989,"Turno 1"
"Rio de Janeiro","Aureliano Chaves ","PFL","PFL",48640,0.0719384697726131,"Presidente",1989,"Turno 1"
"São Paulo","Aureliano Chaves ","PFL","PFL",69315,0.102516756420409,"Presidente",1989,"Turno 1"
"Paraná","Aureliano Chaves ","PFL","PFL",23686,0.035031550062379,"Presidente",1989,"Turno 1"
"Santa Catarina","Aureliano Chaves ","PFL","PFL",10101,0.0149393602626062,"Presidente",1989,"Turno 1"
"R. G. do Sul","Aureliano Chaves ","PFL","PFL",19290,0.0285298742169759,"Presidente",1989,"Turno 1"
"M. G. do Sul","Aureliano Chaves ","PFL","PFL",5286,0.00781798419444968,"Presidente",1989,"Turno 1"
"Mato Grosso","Aureliano Chaves ","PFL","PFL",4928,0.00728850285854106,"Presidente",1989,"Turno 1"
"Goiás","Aureliano Chaves ","PFL","PFL",8809,0.0130284946592711,"Presidente",1989,"Turno 1"
"Distrito Federal","Aureliano Chaves ","PFL","PFL",7350,0.0108706363657218,"Presidente",1989,"Turno 1"
