estado,nome,partido,coligacao,votos,porcentagem,cargo,ano,turno
Sergipe,Aureliano Chaves ,PFL,PFL,6371,0.01,Presidente,1989,Turno 1
Bahia,Aureliano Chaves ,PFL,PFL,34951,0.05,Presidente,1989,Turno 1
Minas Gerais,Aureliano Chaves ,PFL,PFL,227049,0.34,Presidente,1989,Turno 1
Espírito Santo,Aureliano Chaves ,PFL,PFL,10164,0.02,Presidente,1989,Turno 1
Rio de Janeiro,Aureliano Chaves ,PFL,PFL,48640,0.07,Presidente,1989,Turno 1
São Paulo,Aureliano Chaves ,PFL,PFL,69315,0.1,Presidente,1989,Turno 1
Paraná,Aureliano Chaves ,PFL,PFL,23686,0.04,Presidente,1989,Turno 1
Santa Catarina,Aureliano Chaves ,PFL,PFL,10101,0.01,Presidente,1989,Turno 1
R. G. do Sul,Aureliano Chaves ,PFL,PFL,19290,0.03,Presidente,1989,Turno 1
M. G. do Sul,Aureliano Chaves ,PFL,PFL,5286,0.01,Presidente,1989,Turno 1
Mato Grosso,Aureliano Chaves ,PFL,PFL,4928,0.01,Presidente,1989,Turno 1
Goiás,Aureliano Chaves ,PFL,PFL,8809,0.01,Presidente,1989,Turno 1
Distrito Federal,Aureliano Chaves ,PFL,PFL,7350,0.01,Presidente,1989,Turno 1
Rondônia,Ronaldo Caiado ,PSD,PSD PDN,3222,0,Presidente,1989,Turno 1
Acre,Ronaldo Caiado ,PSD,PSD PDN,763,0,Presidente,1989,Turno 1
Amazonas,Ronaldo Caiado ,PSD,PSD PDN,1799,0,Presidente,1989,Turno 1
Roraima,Ronaldo Caiado ,PSD,PSD PDN,359,0,Presidente,1989,Turno 1
Pará,Ronaldo Caiado ,PSD,PSD PDN,6830,0.01,Presidente,1989,Turno 1
Amapá,Ronaldo Caiado ,PSD,PSD PDN,321,0,Presidente,1989,Turno 1
Tocantins,Ronaldo Caiado ,PSD,PSD PDN,4980,0.01,Presidente,1989,Turno 1
Maranhão,Ronaldo Caiado ,PSD,PSD PDN,7599,0.01,Presidente,1989,Turno 1
Piauí,Ronaldo Caiado ,PSD,PSD PDN,3770,0.01,Presidente,1989,Turno 1
Ceará,Ronaldo Caiado ,PSD,PSD PDN,7714,0.01,Presidente,1989,Turno 1
R. G. do Norte,Ronaldo Caiado ,PSD,PSD PDN,4868,0.01,Presidente,1989,Turno 1
Paraíba,Ronaldo Caiado ,PSD,PSD PDN,5512,0.01,Presidente,1989,Turno 1
Pernambuco,Ronaldo Caiado ,PSD,PSD PDN,8402,0.01,Presidente,1989,Turno 1
Alagoas,Ronaldo Caiado ,PSD,PSD PDN,1838,0,Presidente,1989,Turno 1
Sergipe,Ronaldo Caiado ,PSD,PSD PDN,2104,0,Presidente,1989,Turno 1
Bahia,Ronaldo Caiado ,PSD,PSD PDN,30947,0.05,Presidente,1989,Turno 1
Minas Gerais,Ronaldo Caiado ,PSD,PSD PDN,80601,0.12,Presidente,1989,Turno 1
Espírito Santo,Ronaldo Caiado ,PSD,PSD PDN,18125,0.03,Presidente,1989,Turno 1
Rio de Janeiro,Ronaldo Caiado ,PSD,PSD PDN,18269,0.03,Presidente,1989,Turno 1
São Paulo,Ronaldo Caiado ,PSD,PSD PDN,78670,0.12,Presidente,1989,Turno 1
Paraná,Ronaldo Caiado ,PSD,PSD PDN,53287,0.08,Presidente,1989,Turno 1
Santa Catarina,Ronaldo Caiado ,PSD,PSD PDN,12735,0.02,Presidente,1989,Turno 1
R. G. do Sul,Ronaldo Caiado ,PSD,PSD PDN,34317,0.05,Presidente,1989,Turno 1
M. G. do Sul,Ronaldo Caiado ,PSD,PSD PDN,10850,0.02,Presidente,1989,Turno 1
Mato Grosso,Ronaldo Caiado ,PSD,PSD PDN,9902,0.01,Presidente,1989,Turno 1
Goiás,Ronaldo Caiado ,PSD,PSD PDN,78065,0.12,Presidente,1989,Turno 1
Distrito Federal,Ronaldo Caiado ,PSD,PSD PDN,3023,0,Presidente,1989,Turno 1
Rondônia,Affonso Camargo ,PTB,PTB,2217,0,Presidente,1989,Turno 1
Acre,Affonso Camargo ,PTB,PTB,574,0,Presidente,1989,Turno 1
Amazonas,Affonso Camargo ,PTB,PTB,3587,0.01,Presidente,1989,Turno 1
Roraima,Affonso Camargo ,PTB,PTB,415,0,Presidente,1989,Turno 1
Pará,Affonso Camargo ,PTB,PTB,11230,0.02,Presidente,1989,Turno 1
Amapá,Affonso Camargo ,PTB,PTB,520,0,Presidente,1989,Turno 1
Tocantins,Affonso Camargo ,PTB,PTB,1472,0,Presidente,1989,Turno 1
Maranhão,Affonso Camargo ,PTB,PTB,8098,0.01,Presidente,1989,Turno 1
Piauí,Affonso Camargo ,PTB,PTB,5227,0.01,Presidente,1989,Turno 1
Ceará,Affonso Camargo ,PTB,PTB,13821,0.02,Presidente,1989,Turno 1
R. G. do Norte,Affonso Camargo ,PTB,PTB,4331,0.01,Presidente,1989,Turno 1
Paraíba,Affonso Camargo ,PTB,PTB,5341,0.01,Presidente,1989,Turno 1
Pernambuco,Affonso Camargo ,PTB,PTB,11292,0.02,Presidente,1989,Turno 1
Alagoas,Affonso Camargo ,PTB,PTB,4126,0.01,Presidente,1989,Turno 1
Sergipe,Affonso Camargo ,PTB,PTB,2880,0,Presidente,1989,Turno 1
Bahia,Affonso Camargo ,PTB,PTB,20733,0.03,Presidente,1989,Turno 1
Minas Gerais,Affonso Camargo ,PTB,PTB,40028,0.06,Presidente,1989,Turno 1
Espírito Santo,Affonso Camargo ,PTB,PTB,5823,0.01,Presidente,1989,Turno 1
