estado,partido,votos,eleicao,ano
Paraná,PCB,9378,Camara dos Deputados 1986,1986
Santa Catarina,PCB,13657,Camara dos Deputados 1986,1986
R. G. do Sul,PCB,32249,Camara dos Deputados 1986,1986
M. G. do Sul,PCB,NA,Camara dos Deputados 1986,1986
Mato Grosso,PCB,NA,Camara dos Deputados 1986,1986
Goiás,PCB,2360,Camara dos Deputados 1986,1986
Distrito Federal,PCB,47026,Camara dos Deputados 1986,1986
Rondônia,PC do B,968,Camara dos Deputados 1986,1986
Acre,PC do B,NA,Camara dos Deputados 1986,1986
Amazonas,PC do B,1119,Camara dos Deputados 1986,1986
Roraima,PC do B,238,Camara dos Deputados 1986,1986
Pará,PC do B,42,Camara dos Deputados 1986,1986
Amapá,PC do B,NA,Camara dos Deputados 1986,1986
Maranhão,PC do B,39,Camara dos Deputados 1986,1986
Piauí,PC do B,276,Camara dos Deputados 1986,1986
Ceará,PC do B,19745,Camara dos Deputados 1986,1986
R. G. do Norte,PC do B,NA,Camara dos Deputados 1986,1986
Paraíba,PC do B,NA,Camara dos Deputados 1986,1986
Pernambuco,PC do B,1061,Camara dos Deputados 1986,1986
Alagoas,PC do B,NA,Camara dos Deputados 1986,1986
Sergipe,PC do B,NA,Camara dos Deputados 1986,1986
Bahia,PC do B,81694,Camara dos Deputados 1986,1986
Minas Gerais,PC do B,7669,Camara dos Deputados 1986,1986
Espírito Santo,PC do B,NA,Camara dos Deputados 1986,1986
Rio de Janeiro,PC do B,47890,Camara dos Deputados 1986,1986
São Paulo,PC do B,91189,Camara dos Deputados 1986,1986
Paraná,PC do B,NA,Camara dos Deputados 1986,1986
Santa Catarina,PC do B,15732,Camara dos Deputados 1986,1986
R. G. do Sul,PC do B,27133,Camara dos Deputados 1986,1986
M. G. do Sul,PC do B,1299,Camara dos Deputados 1986,1986
Mato Grosso,PC do B,1073,Camara dos Deputados 1986,1986
Goiás,PC do B,70,Camara dos Deputados 1986,1986
Distrito Federal,PC do B,NA,Camara dos Deputados 1986,1986
Rondônia,PSC,783,Camara dos Deputados 1986,1986
Acre,PSC,NA,Camara dos Deputados 1986,1986
Amazonas,PSC,NA,Camara dos Deputados 1986,1986
Roraima,PSC,NA,Camara dos Deputados 1986,1986
Pará,PSC,NA,Camara dos Deputados 1986,1986
Amapá,PSC,NA,Camara dos Deputados 1986,1986
Maranhão,PSC,NA,Camara dos Deputados 1986,1986
Piauí,PSC,NA,Camara dos Deputados 1986,1986
Ceará,PSC,9370,Camara dos Deputados 1986,1986
R. G. do Norte,PSC,NA,Camara dos Deputados 1986,1986
Paraíba,PSC,NA,Camara dos Deputados 1986,1986
Pernambuco,PSC,24178,Camara dos Deputados 1986,1986
Alagoas,PSC,NA,Camara dos Deputados 1986,1986
Sergipe,PSC,NA,Camara dos Deputados 1986,1986
Bahia,PSC,21943,Camara dos Deputados 1986,1986
Minas Gerais,PSC,19865,Camara dos Deputados 1986,1986
Espírito Santo,PSC,2044,Camara dos Deputados 1986,1986
Rio de Janeiro,PSC,7379,Camara dos Deputados 1986,1986
São Paulo,PSC,106996,Camara dos Deputados 1986,1986
Paraná,PSC,6064,Camara dos Deputados 1986,1986
Santa Catarina,PSC,NA,Camara dos Deputados 1986,1986
R. G. do Sul,PSC,NA,Camara dos Deputados 1986,1986
M. G. do Sul,PSC,NA,Camara dos Deputados 1986,1986
Mato Grosso,PSC,734,Camara dos Deputados 1986,1986
Goiás,PSC,285,Camara dos Deputados 1986,1986
Distrito Federal,PSC,8262,Camara dos Deputados 1986,1986
Rondônia,PMB,NA,Camara dos Deputados 1986,1986
Acre,PMB,NA,Camara dos Deputados 1986,1986
Amazonas,PMB,2378,Camara dos Deputados 1986,1986
Roraima,PMB,NA,Camara dos Deputados 1986,1986
Pará,PMB,16068,Camara dos Deputados 1986,1986
Amapá,PMB,NA,Camara dos Deputados 1986,1986
Maranhão,PMB,2491,Camara dos Deputados 1986,1986
Piauí,PMB,NA,Camara dos Deputados 1986,1986
Ceará,PMB,NA,Camara dos Deputados 1986,1986
R. G. do Norte,PMB,NA,Camara dos Deputados 1986,1986
Paraíba,PMB,NA,Camara dos Deputados 1986,1986
Pernambuco,PMB,19397,Camara dos Deputados 1986,1986
Alagoas,PMB,NA,Camara dos Deputados 1986,1986
Sergipe,PMB,NA,Camara dos Deputados 1986,1986
Bahia,PMB,6797,Camara dos Deputados 1986,1986
Minas Gerais,PMB,39710,Camara dos Deputados 1986,1986
Espírito Santo,PMB,NA,Camara dos Deputados 1986,1986
Rio de Janeiro,PMB,24086,Camara dos Deputados 1986,1986
São Paulo,PMB,58354,Camara dos Deputados 1986,1986
Paraná,PMB,NA,Camara dos Deputados 1986,1986
Santa Catarina,PMB,NA,Camara dos Deputados 1986,1986
R. G. do Sul,PMB,NA,Camara dos Deputados 1986,1986
M. G. do Sul,PMB,NA,Camara dos Deputados 1986,1986
Mato Grosso,PMB,8408,Camara dos Deputados 1986,1986
Goiás,PMB,NA,Camara dos Deputados 1986,1986
Distrito Federal,PMB,2518,Camara dos Deputados 1986,1986
Rondônia,PH,700,Camara dos Deputados 1986,1986
Acre,PH,NA,Camara dos Deputados 1986,1986
Amazonas,PH,83,Camara dos Deputados 1986,1986
Roraima,PH,NA,Camara dos Deputados 1986,1986
Pará,PH,NA,Camara dos Deputados 1986,1986
Amapá,PH,NA,Camara dos Deputados 1986,1986
Maranhão,PH,NA,Camara dos Deputados 1986,1986
Piauí,PH,NA,Camara dos Deputados 1986,1986
Ceará,PH,NA,Camara dos Deputados 1986,1986
